the cougars	bn:01345595n
better	bn:00010158n,bn:00010159n,bn:02222782n,bn:01300883n,bn:01623671n,bn:14835106n,bn:00010157n,bn:03596701n,bn:03233984n,bn:14469786n,bn:00337880n,bn:00836490n,bn:01315771n,bn:00010160n
even worse	bn:01007846n,bn:03537104n
times higher	
richer	bn:00334617n
safer	bn:14909544n,bn:03473148n,bn:00068799n
cleaner	bn:03805995n,bn:03744471n,bn:02344995n,bn:00019645n,bn:00019644n,bn:00957700n,bn:00019643n
even higher	bn:15879911n
much better	bn:01500164n
greater	bn:15583367n,bn:00041624n
anything less	
nomination for best	
award for best actor	
award	bn:01017896n,bn:00270968n,bn:00007496n,bn:00000704n,bn:00007497n
award for best	
received a nomination	
awards for best	
nominated for best	
won the award	
award for outstanding	
won for best	
best new	
the award for best	
continent	bn:02712550n,bn:02562324n,bn:00958902n,bn:15910157n,bn:02576820n,bn:00022174n,bn:00022173n
the island	bn:00219214n,bn:02169291n,bn:14105856n,bn:02276222n,bn:03541382n,bn:00665333n,bn:02712991n,bn:02007378n,bn:16078301n,bn:01139762n,bn:02901946n,bn:02164129n,bn:00770937n,bn:00187121n,bn:03838080n,bn:17173669n,bn:00121448n
the mainland	bn:03244247n,bn:00130911n,bn:00052858n
behalf	bn:00009652n,bn:00009653n
basis	bn:00008916n,bn:00008790n,bn:00079110n,bn:00911310n,bn:00059208n,bn:15583623n,bn:03460776n,bn:00008786n,bn:00012836n,bn:00008870n,bn:03416225n,bn:17112205n
capitol hill	bn:03741160n,bn:03657418n,bn:03358364n,bn:01528204n,bn:00015670n,bn:03400504n,bn:00238109n,bn:01356670n
won an award	
won the prize	
received the award	
won awards	
tourist	bn:00683059n,bn:00044419n,bn:01962137n,bn:15689805n,bn:15341000n
foreign tourists	
local residents	
visitor	bn:02229438n,bn:03106425n,bn:00307325n,bn:02681021n,bn:02978260n,bn:00080115n
resident	bn:00058564n,bn:00045024n,bn:02972215n,bn:02336705n,bn:03518357n,bn:03269301n,bn:00054910n
jeremy roenick	bn:03191679n
john leclair	bn:02375062n,bn:03484008n
keith tkachuk	bn:03192286n
leclair	bn:00191173n
gagne	bn:03579690n
mark recchi	bn:03489307n
macao	bn:14898219n,bn:01496605n,bn:00052525n
nanjing	bn:00056793n,bn:15671057n,bn:03591173n
guangdong province	bn:00042030n
shanghai	bn:00023830n,bn:02357910n,bn:00582323n,bn:01765110n,bn:01055065n,bn:02177431n,bn:01714186n,bn:01018044n,bn:00070893n,bn:02446274n
chengdu	bn:00944333n
dalian	bn:00025027n
shenzhen	bn:03714017n,bn:17022527n
beijing	bn:00009674n,bn:15887539n,bn:00535568n
pop	bn:00072620n,bn:03159734n,bn:16981223n,bn:00015881n,bn:00935198n,bn:17033678n,bn:03148087n,bn:02843261n,bn:03791418n,bn:00024989n,bn:00065722n,bn:00063555n,bn:00227385n,bn:00063557n,bn:14083195n,bn:03832050n,bn:00433409n,bn:01322283n,bn:03766496n,bn:02100952n,bn:03743418n,bn:01587787n,bn:00045726n,bn:01875683n,bn:00063556n,bn:15972592n,bn:01307601n,bn:14309814n,bn:15882410n,bn:13806035n
rap	bn:00066191n,bn:00060963n,bn:00066173n,bn:00009827n,bn:00066174n,bn:17280437n,bn:00011096n,bn:02730417n,bn:00342539n,bn:00044202n
soul	bn:01230702n,bn:00072886n,bn:00072887n,bn:03205535n,bn:00072888n,bn:02809130n,bn:03587303n,bn:14563364n,bn:01604595n,bn:16330754n,bn:00065006n,bn:00046516n,bn:02279444n,bn:16817542n,bn:03508421n,bn:00874736n
hip hop	bn:02416714n,bn:01661645n,bn:00207096n,bn:01298745n,bn:17280437n,bn:00044202n,bn:00044201n
hop	bn:03300684n,bn:00044727n,bn:00542803n,bn:03353186n,bn:00692191n,bn:00044729n,bn:00044728n,bn:02149260n,bn:03553030n,bn:00612522n,bn:01594427n
disco	bn:03888264n,bn:03622330n,bn:00441429n,bn:00027490n,bn:00027491n,bn:00884772n,bn:03869272n,bn:14508470n,bn:00618021n,bn:03531801n
succeed president	
replace president	
support president	
see president	
meets president	
meeting president	
forum	bn:02708973n,bn:03829931n,bn:01621420n,bn:01698789n,bn:03854718n,bn:03148644n,bn:14251420n,bn:03862479n,bn:03561223n,bn:03765061n,bn:03283792n,bn:01953797n,bn:00006486n,bn:14497430n,bn:00036013n
partnership	bn:00021286n,bn:00548129n,bn:16277440n,bn:00548224n,bn:01090673n,bn:00073910n,bn:00060822n,bn:00060821n,bn:00060823n,bn:00022811n,bn:00014160n,bn:01575730n,bn:17332891n
initiative	bn:00034797n,bn:00833323n,bn:00813805n,bn:00031009n,bn:02040962n,bn:14296161n
partnerships	bn:00060821n
plans	bn:02414620n,bn:03156165n,bn:00062759n,bn:00005439n,bn:01309235n
steering group	bn:13610467n
authority	bn:00007293n,bn:00007294n,bn:01392138n,bn:02575018n,bn:03482729n,bn:03666074n,bn:00001961n,bn:00007301n,bn:00007302n,bn:00007300n,bn:00428656n,bn:14125003n,bn:00006565n
project	bn:00064665n,bn:01740508n,bn:00049573n,bn:01231396n,bn:13316233n
strategy	bn:03890696n,bn:02381229n,bn:00074558n,bn:01425097n,bn:03244279n,bn:00056156n,bn:00069579n
plan	bn:00227339n,bn:00062759n,bn:00005439n,bn:03479682n,bn:00710547n,bn:00809795n,bn:00026536n,bn:02875688n,bn:02721096n,bn:02538465n,bn:01963482n,bn:02412768n
action plan	bn:15426966n
anand	bn:14013155n,bn:03441459n,bn:01829959n,bn:01038656n,bn:02288536n,bn:02473401n,bn:14599135n,bn:15236249n,bn:00880260n,bn:02907263n,bn:16596896n,bn:00880283n
guru	bn:02901097n,bn:00042264n,bn:02377625n,bn:00042266n,bn:00042265n,bn:02050062n,bn:02308169n,bn:17327964n,bn:00122760n,bn:03083805n,bn:00499124n,bn:01902526n,bn:00923584n
sanjay	bn:00206237n,bn:14274618n
mohan	bn:03373443n,bn:02452962n,bn:02466134n,bn:00738720n,bn:00289284n,bn:02761152n,bn:16769430n,bn:03863679n
bharat	bn:00010203n,bn:01508993n,bn:01053089n
chandra	bn:16394028n,bn:02924288n,bn:02605305n,bn:03895995n
s.k.	
ramesh	bn:17146755n,bn:00375746n,bn:03186428n
jai	bn:02726229n,bn:03822654n,bn:01136161n,bn:03748873n,bn:02062607n,bn:02550130n
kiran	bn:01370707n
nath	bn:00922029n,bn:00798353n
swami	bn:00075498n,bn:02367358n,bn:00334944n,bn:00208392n,bn:01813536n,bn:14552002n
lal	bn:02859535n,bn:01674342n,bn:16324552n,bn:00636958n
a. k.	
raj	bn:00066071n,bn:02486506n,bn:09989000n
ashok	bn:03390380n,bn:02521490n,bn:00138792n
ram	bn:00274542n,bn:14601862n,bn:03096250n,bn:02806302n,bn:03895637n,bn:00373068n,bn:01976021n,bn:00066092n,bn:00066093n,bn:00005635n,bn:00005637n,bn:03420612n,bn:01211385n,bn:02110137n,bn:01140696n,bn:14343182n,bn:03417226n,bn:02389967n,bn:03623856n,bn:00205376n,bn:00066091n
s. k.	
k.	bn:01315738n
krishna	bn:02833453n,bn:14705306n,bn:00930658n,bn:03305335n,bn:00935659n,bn:03594357n,bn:03874265n,bn:16680016n,bn:03252701n,bn:15524539n,bn:15919143n,bn:16187258n,bn:00631661n,bn:00821472n,bn:00023144n,bn:01772553n,bn:00049463n,bn:00525143n
sri	bn:01074161n,bn:00119313n,bn:01367346n,bn:03545773n,bn:00276793n,bn:00688280n
deepak	bn:03845929n,bn:14067251n
rama	bn:00539407n,bn:02019945n,bn:03887443n,bn:03539602n,bn:00611718n,bn:14889699n,bn:03338881n,bn:00794692n,bn:03395406n,bn:03896467n,bn:00066095n,bn:00376618n,bn:14711197n,bn:17028417n,bn:00370698n
k. k.	
rajiv	
novell	bn:00933484n,bn:14946595n
hat	bn:01148540n,bn:03517767n,bn:00017718n,bn:03210249n,bn:01801697n,bn:02599613n,bn:00043124n
red hat	bn:03605812n,bn:01995216n
playstation 3	bn:01840349n
playstation 2	bn:00814446n
the nintendo	
the wii	bn:03162256n
nintendo	bn:01399297n
xbox 360	bn:03623084n
nintendo ds	bn:03188488n
atari	bn:15708195n,bn:01535471n,bn:03319353n,bn:00885259n,bn:02211549n
ds	bn:01607636n,bn:00013951n,bn:01176472n,bn:00006836n,bn:03792851n,bn:00028008n
the playstation	
advance	bn:03620688n,bn:01243748n,bn:00001549n,bn:00244992n,bn:03733118n,bn:02510897n,bn:00001553n,bn:16970602n,bn:00001552n,bn:03542708n,bn:00001548n,bn:02857670n,bn:00383355n,bn:00001551n,bn:03128426n,bn:01804137n,bn:00001550n,bn:02365469n,bn:01804146n,bn:01804176n,bn:01804155n,bn:03898607n,bn:01804164n
game boy advance	bn:00402631n
the pc	
sega	bn:16272267n,bn:02186644n
the xbox 360	bn:03623084n
actor	bn:00817142n,bn:01333277n,bn:00025884n,bn:00874596n,bn:03174522n,bn:03241404n,bn:01291713n,bn:01554801n,bn:01135197n,bn:00001177n,bn:00001176n,bn:02529589n,bn:02041153n,bn:09670588n,bn:03170381n
actress	bn:15918759n,bn:00677344n,bn:00001181n,bn:02922337n,bn:09394905n
slam	bn:01890885n,bn:00921805n,bn:00072044n,bn:00072045n,bn:00072046n,bn:01189984n,bn:01959257n,bn:02323167n,bn:00008494n,bn:01438693n,bn:02467886n,bn:14367981n,bn:01707186n,bn:03097863n,bn:03097741n
smash	bn:02563828n,bn:00318799n,bn:15036471n,bn:14512283n,bn:00664030n,bn:00911952n,bn:16517686n,bn:16517674n,bn:17111721n,bn:00072297n,bn:00970332n,bn:01864885n,bn:00059882n,bn:01830186n,bn:00008333n,bn:02435669n,bn:02123219n,bn:00008336n,bn:02449930n,bn:16326961n,bn:01357247n,bn:00023572n,bn:00993467n,bn:15776443n
four-cylinder engine	bn:16629303n
v-6	
design	bn:00021551n,bn:00002178n,bn:16353705n,bn:00011593n,bn:14942739n,bn:00028639n,bn:00045963n,bn:00026536n,bn:03049392n,bn:00026535n,bn:00026538n,bn:02255348n,bn:00026537n,bn:00045772n
designed and built	
roma	bn:00481514n,bn:01639223n,bn:03248219n,bn:16561366n,bn:14200001n,bn:15463021n,bn:16541981n,bn:16656188n,bn:00660953n,bn:03184211n,bn:02896807n,bn:01676707n,bn:03137519n,bn:03750558n,bn:00568976n,bn:16976967n,bn:02568227n,bn:03645041n,bn:17066237n,bn:01786109n,bn:00961922n,bn:00660930n,bn:03724149n,bn:15752837n,bn:00011815n,bn:16850007n,bn:00575441n,bn:00015556n,bn:00588530n
catania	bn:03204433n,bn:00666050n
cagliari	bn:00665687n,bn:03207016n
siena	bn:02145878n
inter	bn:02003320n,bn:03888053n
palermo	bn:03310161n,bn:02325655n,bn:00667828n,bn:03868149n,bn:00294736n,bn:00467747n,bn:16902773n,bn:00189834n,bn:15048458n,bn:00241044n,bn:00060273n,bn:00192263n
milan	bn:16511504n,bn:02475772n,bn:03653386n,bn:14098991n,bn:00725454n,bn:00250427n,bn:00336158n,bn:02923736n,bn:00810035n,bn:00176486n,bn:00241551n,bn:00808911n,bn:00552860n,bn:15037034n,bn:03174999n,bn:00412104n,bn:02320950n,bn:16723381n,bn:02735620n,bn:17052229n,bn:02568883n,bn:00426587n,bn:03516163n,bn:00054924n
vicenza	bn:00134539n,bn:16137411n,bn:03885002n
messina	bn:16385007n,bn:00054530n,bn:16706632n,bn:00667711n
torino	bn:00077665n,bn:00656205n,bn:02500791n,bn:02585226n
chievo verona	bn:14602552n
ac milan	bn:01157567n
bari	bn:14194608n,bn:02397018n,bn:00665565n,bn:00008580n,bn:01184321n,bn:01097050n,bn:01303326n,bn:03381074n,bn:14828624n
bologna	bn:00971389n,bn:02709172n,bn:00011888n,bn:01377717n,bn:03884859n,bn:00011889n
inter milan	bn:00728513n
the tournament	bn:00827447n,bn:03136155n,bn:15190683n,bn:00346105n
the games	bn:00608165n,bn:03338921n,bn:00058910n,bn:03339220n
the event	bn:03735208n,bn:02097821n
the blue jays	bn:00693474n
the cardinals	bn:01323302n,bn:01999387n
the san diego padres	bn:02210167n
the los angeles dodgers	bn:01061540n
the sox	
the white sox	bn:03419623n
the yankees	bn:03259749n
the dodgers	bn:01061540n
the rockies	bn:03515299n
the marlins	bn:00252979n
the chicago cubs	bn:03513871n
the phillies	bn:01699735n
the cincinnati reds	bn:03515509n
the baltimore orioles	bn:03181835n
mets	bn:14780314n,bn:01090111n,bn:00928482n,bn:01459990n,bn:03705557n
the kansas city royals	bn:00928149n
the new york mets	bn:01459990n
the reds	
the giants	bn:01311554n,bn:01362634n,bn:02820852n
the milwaukee brewers	bn:01289590n
the mets	bn:01459990n
the rays	bn:03813146n
the pittsburgh pirates	bn:01769035n
the atlanta braves	bn:01421088n
the tigers	bn:03452853n,bn:02269548n,bn:03270940n,bn:01968858n
the cubs	bn:03513871n
the philadelphia phillies	bn:01699735n
the detroit tigers	bn:03741703n
the toronto blue jays	bn:02433662n
the new york yankees	bn:03259749n
the red sox	bn:03181710n
the royals	bn:00703838n
the florida marlins	bn:00252979n
the angels	bn:03119601n,bn:02178447n,bn:00275935n
the boston red sox	bn:03181710n
braves	bn:01421088n
the mariners	bn:02126919n
the astros	bn:00594313n
the montreal expos	bn:01289709n
the braves	bn:01421088n
the expos	bn:01637161n
the rangers	
the diamondbacks	bn:01409558n
the padres	bn:02210167n
the orioles	bn:00900166n
the texas rangers	bn:02683266n,bn:02404903n,bn:02434794n,bn:14085722n
the chicago white sox	bn:03419623n
the cleveland indians	bn:03513701n
the pirates	bn:16156897n,bn:14921672n
the indians	bn:00908016n
costs associated	
deal	bn:00206221n,bn:00025558n,bn:02574989n,bn:00025557n,bn:00025556n,bn:00025555n,bn:00025554n,bn:00422553n,bn:16163069n,bn:17020144n,bn:15687846n,bn:03511615n,bn:03534719n,bn:00014152n,bn:00025553n,bn:00008985n,bn:00008568n,bn:03406920n,bn:15882485n,bn:03605110n
familiarity	bn:00032890n,bn:00016590n,bn:00000990n,bn:00032891n,bn:00019951n
nothing wrong	bn:02433162n
obsession	bn:03291709n,bn:16693231n,bn:01761407n,bn:01876283n,bn:00245360n,bn:01267278n,bn:02992028n,bn:16034114n,bn:03104404n,bn:15103709n,bn:01939149n,bn:03438450n,bn:02259253n,bn:00058505n,bn:01381248n,bn:02566941n,bn:01638309n,bn:00014939n,bn:14130746n,bn:00560790n,bn:00750411n,bn:00021457n,bn:02225871n,bn:00820371n,bn:03323531n,bn:00299696n,bn:16023665n,bn:00351450n,bn:00991411n,bn:03433157n,bn:00034923n,bn:13863455n,bn:00227003n,bn:01912550n,bn:02144086n,bn:01536342n,bn:14694623n,bn:01662747n
associate	bn:00006535n,bn:00767052n,bn:00006534n,bn:00060819n,bn:03697950n,bn:00006533n,bn:00006532n,bn:00006531n
riddle	bn:00067755n,bn:00012686n,bn:03570585n,bn:00721637n,bn:15240160n
used in conjunction	
charges in connection	
keep pace	
conjunction	bn:00020110n,bn:00020657n,bn:01055470n,bn:00002742n,bn:00021884n,bn:00021882n,bn:00021883n
odds	bn:00017624n,bn:00914034n,bn:01773582n,bn:00058635n,bn:00010163n
connection	bn:13801190n,bn:00045161n,bn:03725084n,bn:03113780n,bn:03240002n,bn:01807157n,bn:00021914n,bn:00021903n,bn:00021915n,bn:00021912n,bn:15811855n,bn:00021901n,bn:15426524n,bn:00021913n,bn:00021902n,bn:00711103n,bn:00021911n,bn:14028248n,bn:03432294n,bn:13800966n,bn:00006542n
come to terms	
bundle	bn:01832682n,bn:01653127n,bn:00953188n,bn:00013883n,bn:00013882n,bn:15183433n,bn:00010307n
struggle	bn:00020858n,bn:02947434n,bn:00675470n,bn:00009079n,bn:01846761n,bn:01684677n,bn:00009080n,bn:00074762n,bn:15683246n
preoccupation	bn:00064164n,bn:00064165n,bn:00000476n
also associated	
accordance	bn:00000731n,bn:03402745n,bn:00000727n
charged in connection	
come to grips	
fascination	bn:00033719n,bn:03155344n,bn:02674554n,bn:00680981n,bn:03481314n,bn:02977157n,bn:00874719n,bn:03392070n,bn:02045823n,bn:02393119n,bn:03220239n,bn:02147962n,bn:02211571n,bn:00015766n,bn:03372920n,bn:00015765n,bn:03311423n,bn:01672282n
tinker	bn:00054568n,bn:15946993n,bn:16947467n,bn:01239156n,bn:00504133n,bn:00077354n,bn:00077355n,bn:02029075n,bn:00018971n,bn:14505172n
dissatisfaction	bn:00022161n,bn:00027705n,bn:00027506n
compliance	bn:02981872n,bn:15258781n,bn:00000300n,bn:00927361n,bn:00190822n,bn:03145071n,bn:14872919n,bn:00021384n,bn:00074274n,bn:00021350n
tandem	bn:00076024n,bn:00010249n,bn:02965402n,bn:03531441n,bn:15765187n,bn:01287883n,bn:01342927n
compatibility	bn:03764545n,bn:01931239n,bn:00021322n,bn:00280640n,bn:03201307n,bn:00021321n,bn:03360543n
the data	
the digital	
the two companies	
two camps	bn:03477122n
two peoples	
north and south	bn:03808251n,bn:03651984n,bn:03876278n,bn:03228581n,bn:01748093n,bn:03277508n,bn:16113426n
the parties	bn:02121626n,bn:01335277n
two men	
taiwan and china	bn:01950420n
the two states	
the two groups	
the two teams	
india and pakistan	bn:03207865n
the groups	
the countries	
ethnic groups	bn:00031722n
the two countries	
two leaders	
two parties	bn:17134535n
two nations	
the two sides	
two communities	
two cities	bn:00522247n,bn:01294866n
two koreas	bn:02611768n
the teams	
political parties	bn:03320528n,bn:00060834n
two governments	
the nations	bn:03721588n
the sides	
fit	bn:00014068n,bn:00021921n,bn:00022401n,bn:00021855n,bn:02754577n,bn:02572586n,bn:00034894n
plug	bn:00042425n,bn:03811584n,bn:00034655n,bn:15895908n,bn:03732835n,bn:03351097n,bn:13896898n,bn:00008210n,bn:00063067n,bn:00052980n,bn:00063068n,bn:00984067n,bn:00017968n,bn:00030158n,bn:00990292n
percent reduction	
trend	bn:00076496n,bn:16863872n,bn:00074832n,bn:00070218n,bn:00023286n,bn:00078173n,bn:00028723n,bn:14287445n
the growth	
change	bn:01990049n,bn:00017658n,bn:01409837n,bn:15299685n,bn:15855519n,bn:15176512n,bn:00562917n,bn:03433235n,bn:00826526n,bn:00498419n,bn:00017653n,bn:00017659n,bn:00836772n,bn:02096404n,bn:02520762n,bn:00749143n,bn:01463688n,bn:03804799n,bn:00501285n,bn:00876463n,bn:02597477n,bn:03646540n,bn:00017654n,bn:03562332n,bn:00601995n,bn:00017656n,bn:01400100n,bn:15495519n,bn:02224557n,bn:02185233n,bn:03694939n,bn:00053823n,bn:00466967n,bn:00003125n,bn:01656614n,bn:03266242n,bn:00017651n,bn:01737156n,bn:00017655n,bn:02381306n,bn:11282145n,bn:00017657n,bn:00794332n,bn:02124820n,bn:01152233n,bn:02606590n,bn:00374715n,bn:02267066n,bn:02389601n,bn:00017652n,bn:01333978n
the difference	bn:01078313n,bn:02232984n
cutback	bn:00024634n,bn:02310931n,bn:00075390n,bn:00025780n
improvement	bn:00001549n,bn:00046192n,bn:00046191n
increase	bn:00001294n,bn:00046355n,bn:00046356n,bn:00046357n,bn:00041979n,bn:03277228n
decrease	bn:00025778n,bn:00025779n,bn:00025777n,bn:00000223n,bn:00025780n,bn:03275195n
the decrease	
the changes	bn:03137461n,bn:03137465n
the change	bn:02486641n,bn:01815990n,bn:03741960n,bn:00416419n,bn:02707098n,bn:00017665n
sharp increase	
adjustment	bn:15113548n,bn:00001411n,bn:00001412n,bn:00001267n,bn:00001410n,bn:00000706n,bn:01655797n
growth	bn:00041981n,bn:00041982n,bn:00030523n,bn:01984640n,bn:00026697n,bn:00041980n,bn:00041978n,bn:00041979n
reduction	bn:00032043n,bn:00067461n,bn:00013761n,bn:02946228n,bn:00059987n,bn:00159857n,bn:00035195n,bn:00152286n,bn:03751211n,bn:00000265n,bn:00019206n,bn:00026413n,bn:00000267n,bn:00000223n,bn:00025780n,bn:00047346n,bn:03729875n,bn:01424764n,bn:00075313n,bn:00066741n,bn:00066739n,bn:00064716n,bn:00066735n,bn:15078797n,bn:03870590n,bn:00001315n,bn:01612053n,bn:03810970n
fluctuation	bn:00035413n,bn:00035415n,bn:00035414n
uptick	bn:00079283n
becker	bn:00359249n,bn:00029852n,bn:00043382n,bn:17125821n,bn:03554417n
yevgeny kafelnikov	bn:03267006n
rafter	bn:01784088n,bn:01986228n,bn:00065984n,bn:00008109n
patrick rafter	bn:01642998n
jonas bjorkman	bn:01234242n
jim courier	bn:03543536n
michael chang	bn:02420415n,bn:03113803n
richard krajicek	bn:00858631n
boris becker	bn:01284769n
thomas enqvist	bn:03828686n
mcenroe	bn:01981880n,bn:02392979n,bn:00315925n
courier	bn:00270227n,bn:01207719n,bn:01923229n,bn:03637322n,bn:03832963n,bn:03455874n,bn:00023284n,bn:16965381n,bn:03445160n,bn:02138987n,bn:00551195n
goran ivanisevic	bn:01213988n
todd martin	bn:03759007n
pete sampras	bn:03507821n
high rates	
high rate	
higher rates	
the insurgents	bn:03478255n
rebel	bn:14410277n,bn:17314328n,bn:03714089n,bn:14258247n,bn:16293877n,bn:01408817n,bn:00053914n,bn:01243542n,bn:14554661n,bn:02040949n,bn:00041774n,bn:16293993n,bn:03221215n,bn:00148075n,bn:00036377n,bn:02720350n,bn:03620340n,bn:14724794n,bn:00047003n,bn:15261098n,bn:01502208n
militia	bn:00793634n,bn:00054993n,bn:00054992n,bn:03152067n,bn:00768450n,bn:02773624n,bn:15538932n,bn:00793629n,bn:00355829n,bn:02435193n,bn:16577978n
guerrilla	bn:00042081n,bn:16855233n,bn:00678583n,bn:02530168n,bn:14350668n
rebel groups	bn:00047003n
the guerrillas	
rebel forces	bn:03856581n
guerilla	bn:00042081n,bn:01192574n
palestinian militants	
insurgency	bn:00047002n,bn:00047003n
guerrilla group	
sniper	bn:00819008n,bn:01205449n,bn:03253151n,bn:03803099n,bn:02081466n,bn:00072432n,bn:01276218n,bn:00671487n,bn:02953012n,bn:03266662n,bn:17302620n,bn:00698993n,bn:03143637n
terrorist group	bn:00035837n
terrorism	bn:02330520n,bn:00001082n,bn:03325449n
armed men	
the terrorists	bn:00979396n,bn:03703650n
taliban fighters	
militant groups	
militant group	bn:03668270n
group	bn:14139607n,bn:17081477n,bn:00056461n,bn:03185127n,bn:03429376n,bn:00018111n,bn:01723250n,bn:01102027n,bn:00013875n,bn:00068051n,bn:02152719n,bn:14166230n,bn:00008280n,bn:00002229n,bn:01071456n,bn:00041942n,bn:00041943n
islamic militants	bn:03374964n
taliban militants	
rebel group	
the rebel	bn:01409250n,bn:00576082n,bn:01360498n,bn:17105203n,bn:03882433n,bn:14331168n,bn:16059199n,bn:02860043n,bn:03790640n,bn:00574423n,bn:03324875n,bn:02669278n
the taliban	bn:00075958n
separatist group	
terrorist groups	
rebel leader	
the gunman	bn:16691352n,bn:15453041n
the rebels	bn:01129078n,bn:16161484n,bn:00656167n,bn:01130607n
islamic extremists	bn:03761197n,bn:01027490n
faction	bn:00014409n,bn:03338748n,bn:00032658n,bn:01258814n,bn:03738725n,bn:03577745n,bn:03303509n
the militants	
fighter	bn:00017612n,bn:01786401n,bn:00020858n,bn:02962505n,bn:00487091n,bn:02967700n,bn:02906275n,bn:03191771n,bn:17116755n,bn:00007002n,bn:00009186n
palestinian gunmen	
gunman	bn:14108834n,bn:15688536n,bn:01969341n,bn:00131043n,bn:00042222n,bn:00042223n
movement	bn:00024065n,bn:00056030n,bn:00005012n,bn:00015051n,bn:14132475n,bn:03260067n,bn:15831114n,bn:15747177n,bn:00056029n,bn:00028723n,bn:00011626n,bn:00056158n,bn:02610132n,bn:14871571n,bn:00056033n,bn:01227397n,bn:00036632n,bn:15022690n,bn:01262090n,bn:02326272n,bn:03799598n,bn:00005804n,bn:00025860n,bn:00011625n,bn:00056157n,bn:00322165n,bn:00056159n
armed groups	
the gunmen	
muslim militants	
reef	bn:00914461n,bn:00066764n,bn:00066130n,bn:00066763n,bn:16689331n,bn:02237390n
coral reefs	bn:00022568n
prison sentences	
jail sentence	bn:00021628n
probation	bn:15001964n,bn:03439210n,bn:00064515n,bn:00064516n,bn:01395989n,bn:00076659n,bn:00064517n
incarceration	bn:00064468n,bn:00015771n,bn:00046182n
